Items,Type,Status,Project Type,Project #,Governance Framework,Project WO #s,Project Manager,PM Region,Project Status,Budget Type,Program,CY Actuals,CY Rem Fcst,Remaining Contingency,CY Tot EAC,CY Tot Fcst 3+9 Baseline,CY Tot EAC vs 3+9 Base Value,CY Tot EAC vs 3+9 Base Indicator,CY Budget Year Amount,CY Budget Adjustment,CY Bud incl Adj,CY Variance with Adjustments Value,CY Variance with Adjustments Indicator,Variance Explanation AFE vs CY Budget,Full or Phase 1 AFE,Phase 2 AFE,Supplemental AFE Amount,Total Approved AFE,AFE Stage,Total Requested AFE,Inception to Date Actuals,Project Rem Fcst,Project EAC,Supplemental AFE Required? Value,Supplemental AFE Required? Indicator,Cash Flow Start (Fcst),Full or Phase 1 AFE Approved Date,Full or Phase 1 AFE Approved Date P/D,Baseline Operational Date,Operational Date,AFE Past Due Days Value,AFE Past Due Days Indicator,CY 01 Jan Act,CY 02 Feb Act,CY 02 Feb Fcst,CY 02 Feb Fcst (asOf Cut-off),CY 02 Feb Var Value,CY 02 Feb Var Indicator,IT - Accruals,Monthly Variance Explanation,CY 03 Mar Fcst,CY 04 Apr Fcst,CY 05 May Fcst,CY 06 Jun Fcst,CY 07 Jul Fcst,CY 08 Aug Fcst,CY 09 Sep Fcst,CY 10 Oct Fcst,CY 11 Nov Fcst,CY 12 Dec Fcst,Remaining Contingency2,Project Status Notes,Project Status Notes Updated On,Financial Forecast Notes,PCA,PM Designate,PMO-Region,PMO-Division,Financial Reporting Category 2022,Financial Reporting Category 2022 Override,PMO-Asset Team,PMO-Location Business Unit,Parent Project Number,CY Q1 EAC,CY Q2 EAC,CY Q3 EAC,CY Q4 EAC,CY-1 Tot Act,CY+1 Tot Fcst,Program Manager,Project Sponsor,WS Drawdown Class,JV SubProgram,IT Count,OPPM Project Item ID,RCAP Financial Model,Created By,Parent / Child Value,Parent / Child Indicator,Creation Date,Maintenance Reporting Categories
"Arc Flash Studies - 2023 MEXP - BUCKEYE PIPE LINE CO. , L.P.",Item,Candidate,MEXP,,Exempt,,"Hassan, Mohammad",West,2. Pending AFE,,Arc Flash,,40000,,40000,40000,0,Green,40000,,40000,0,,,,,,,,,,40000,40000,No,Green,4/1/2023,,,,4/30/2023,,,,,,,,,,,,20000,20000,,,,,,,,,"02-28-2023 - MNH - Still awaiting quote from a 2nd contractor. Planning on submitting AFE in March.


02-01-2023 - MNH - Awaiting quote from a 2nd contractor. Moving forecast out due to delay in receiving contractor quotes.


01-03-2023 - MNH - Received a quote from one contractor and will need another quote before submitting the AFE.


12-1-2022 - MNH - Will start looking at scope of work this month.",2/28/2023,,,,West,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,0,40000,,,,,"Ashley, Robert",,,,1,45787,,"Clark, David",Independent,Aqua,9/10/2022,Other Programs
Arc Flash Studies - 2023 MEXP - BUCKEYE PIPE LINE HOLDINGS LP,Item,Candidate,MEXP,,Exempt,,"Scannell, Adam",West,2. Pending AFE,,Arc Flash,,40000,,40000,40000,0,Green,40000,,40000,0,,,,,,,,,,40000,40000,No,Green,4/1/2023,,,,4/30/2023,,,,,,,,,,,,20000,20000,,,,,,,,,02/02/23 - Working on revised quotes with contractor. Expect AFE routing by end of February.,2/2/2023,,,,West,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,0,40000,,,,,"Ashley, Robert",,,,1,45788,,"Clark, David",Independent,Aqua,9/10/2022,Other Programs
"Arc Flash Studies - 2023 MEXP - BUCKEYE TERMINALS, LLC",Item,Candidate,MEXP,,Exempt,,"Hassan, Mohammad",West,2. Pending AFE,,Arc Flash,,120000,,120000,120000,0,Green,120000,,120000,0,,,,,,,,,,120000,120000,No,Green,4/1/2023,,,,8/31/2023,,,,,,,,,,,,20000,20000,20000,20000,20000,20000,,,,,"02-28-2023 - MNH - Still awaiting quote from a 2nd contractor. Planning on submitting AFE in March.


02-01-2023 - MNH - Awaiting quote from a 2nd contractor. Moving forecast out due to delay in receiving contractor quotes.


01-03-2023 - MNH - Received a quote from one contractor and will need another quote before submitting the AFE.


12-1-2022 - MNH - Will start looking at scope of work this month.",2/28/2023,,,,West,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,0,60000,60000,,,,"Ashley, Robert",,,,1,45775,,"Clark, David",Independent,Aqua,9/9/2022,Other Programs
"Arc Flash Studies - 2023 MEXP - LAUREL PIPE LINE CO., L. P.",Item,Candidate,MEXP,,Exempt,,"Scannell, Adam",West,2. Pending AFE,,Arc Flash,,30000,,30000,30000,0,Green,30000,,30000,0,,,,,,,,,,30000,30000,No,Green,5/1/2023,,,,5/31/2023,,,,,,,,,,,,,30000,,,,,,,,,02/02/23 - Working on revised quotes with contractor. Expect AFE routing by end of February.,2/2/2023,,,,West,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,0,30000,,,,,"Ashley, Robert",,,,1,45789,,"Clark, David",Independent,Aqua,9/10/2022,Other Programs
Arc Flash Studies - 2023 MEXP - WOOD RIVER PIPE LINES LLC,Item,Candidate,MEXP,,Exempt,,"Scannell, Adam",West,2. Pending AFE,,Arc Flash,,10000,,10000,10000,0,Green,10000,,10000,0,,,,,,,,,,10000,10000,No,Green,6/1/2023,,,,3/31/2023,,,,,,,,,,,,,,10000,,,,,,,,02/02/23 - Working on revised quotes with contractor. Expect AFE routing by end of February.,2/2/2023,,,,West,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,0,10000,,,,,"Ashley, Robert",,,,1,45790,,"Clark, David",Independent,Aqua,9/10/2022,Other Programs
East Region Arc Flash,Item,Candidate,MEXP,,Maintenance Framework,,"Mohr, David",,1. Proposed,,Arc Flash,,60000,,60000,60000,0,Green,60000,,60000,0,,,,,,,,,,60000,60000,No,Green,6/1/2023,,,,8/31/2023,,,,,,,,,,,,,,20000,20000,20000,,,,,,,,,,,East,Pipelines and Terminals,Station/Terminal,,East District Team,1182 - EAST DISTRICT WORK TEAM,,0,20000,40000,,,,"Ashley, Robert",,,,1,45904,,"Clark, David",Independent,Aqua,9/25/2022,Other Programs
New Haven Booster #1 (AA) - Arc Flash Study,Item,Open,MEXP,HV00000E2301,Maintenance Framework,2077118,"DeSocio, David",East,3. Active,Defined,Arc Flash,,13000,,13000,13000,0,Green,13000,,13000,0,,,12100,,,12100,Full,12100,,13000,13000,No,Green,8/1/2023,1/31/2023,1/31/2023,11/1/2023,8/31/2023,,,,,,,,,,,,,,,,13000,,,,,,,,,"Walker, Carol",,East,Pipelines and Terminals,Station/Terminal,,Jet Lines,HV - NEW HAVEN TERMINAL,,0,,13000,,,,"Ashley, Robert","Ashley, Robert",,,1,41613,,"Ashley, Robert",Independent,Aqua,8/19/2021,Other Programs
New Haven booster #2 (BA) - Arc Flash Study,Item,Open,MEXP,HV00000E2302,Maintenance Framework,2077116,"DeSocio, David",East,3. Active,Defined,Arc Flash,,13000,,13000,13000,0,Green,13000,,13000,0,,,12100,,,12100,Full,12100,,13000,13000,No,Green,8/1/2023,1/31/2023,1/31/2023,11/1/2023,8/31/2023,,,,,,,,,,,,,,,,13000,,,,,,,,,"Walker, Carol",,East,Pipelines and Terminals,Station/Terminal,,Jet Lines,HV - NEW HAVEN TERMINAL,,0,,13000,,,,"Ashley, Robert","Ashley, Robert",,,1,41615,,"Ashley, Robert",Independent,Aqua,8/19/2021,Other Programs
Paulsboro Station Arc Flash Study Review,Item,Open,MEXP,PY00000E2301,Maintenance Framework,2084744,"Mohr, David",East,3. Active,Defined,Arc Flash,0,16000,,16000,16000,0,Green,20000,,20000,-4000,,,16060,,,16060,Full,16060,,16000,16000,No,Green,5/1/2023,2/16/2023,2/16/2023,4/30/2023,5/31/2023,,,,,,,,,0,,,,16000,,,,,,,,,"3/1/2023 Received quote from contractor. Can pull into this qtr if needed. DRM
2/2/2022 Requested quote from contractor.


2022-Oct-4 -- reassigning to Dave Mohr per Zimmerman -- this is a 2023 project. 2020-07-01 SRZ:  Funds shifted to 2021.  2020 funding will be used to do site that has not had any study at all yet.

2020-06-01 SRZ:  Will file AFE this week and begin preliminary engineering on sites where accurate single lines exist.  

2020-05-04 SRZ:  Preparing AFE, will start minor preliminary engineering, but final site data gathering will be delayed until COVID impacts all travel again.

2020-04-01 SRZ:  This project will be canceled and the funds will be used to conduct the work at other sites in the East District that have not yet had a study completed. When AFE has been approved, will adjust forecast to other sites.",3/1/2023,"2020-07-01 SRZ:  Funds shifted to 2021.  2020 funding will be used to do site that has not had any study at all yet.

2020-06-01 SRZ:  Current forecast should hold as travel restrictions are easing.","Sautter, Maureen",,East,Pipelines and Terminals,Station/Terminal,,Malvern,PY - PAULSBORO REFINERY,,0,16000,,,,,"Ashley, Robert","Ashley, Robert",,,1,33986,,"Guest, ProSight",Independent,Aqua,8/13/2019,Other Programs
Project Ocean Arc Flash Studies,Item,Open,MEXP,1790000E2201,Exempt,1989627,"Logan, Sam",ECS Pipes and Terminals,6. Operational,Drawdown,Arc Flash,2479,,,2478.75,2479,0,Green,,,,2479,,,391000,,,391000,Full,391000,379556,,379556,No,Green,7/1/2022,6/5/2022,6/5/2022,12/31/2022,2/28/2023,,,0,2478.75,1735,1735,744,Red,0,,,,,,,,,,,,,"3/2/23 SL - Project complete; 2/17/23 SL - Work to complete by end of Feb   1.4.23 TN - Per Sam, contractor delay, project will complete in January 2023

12.2.22 TN - Work ahead of schedule 

10.28.22 TN - NC work was pushed to November

9.16.22 TN - Missed accruals for work from contractors. Will be captured in September. 

6/28 contractors provided scope of work and will return bids within 5 business days",3/2/2023,,"Nguyen, Tong",,Corporate,Pipelines and Terminals,Station/Terminal,,Corporate,Corporate,,2479,,,,377077,,"Ashley, Robert","Ashley, Robert",,,1,43702,,"Clark, David",Independent,Aqua,5/10/2022,Other Programs
